Station;DateTime;HourTimeStart;Lat(°)Start;Lat(')Start;Lon(°)Start;Lon(')Start;WaL(m);Depth Start (m);Speed (kn);Route;WindDirection;SeaCondition;WheaterCond;BottomType;Notes.x;HourTimeEnd;Lat(°)End;Lat(')End;Lon(°)End;Lon(')End;Depth End (m);WRapA (kg);Tara A (kg);WRapD(kg);Tara D (kg);CodBenthos;WBenthos(kg);Notes Benthos;Litter;Litter(kg);Notes shells;Note benthos
53;06/11/2024;1899-12-31 08:23:00;44;32.852;13;33.872;275;45;5.5;340;NO;R;PC;Amathia-Holothuria tubulosa;cavo 165 passi, qualche metro in più a rap A. aumentato num di giri motore (890) per tenere la velocità. Rete rap A ricucita in alcuni punti;1899-12-31 08:38:00;44;34.147;13;33.23;NA;248;100;510;100;65 rosso;9;haul sample. Preso altro campione per esercitazione tirocinanti: codice 485 nero;nel sacchetto del benthos;NA;NA;NA
56;06/11/2024;1899-12-31 17:41:00;45;19.337;12;54.733;200;28;5.5;299;/;C;N;Ophiothrix;cavo 120 passi, più  lungo quello del rap A. Giri motore 900. Durata della cala ridotta per completare il programma della giornata. Cala dopo il tramonto;1899-12-31 17:57:00;45;20.069;12;52.928;28;260;100;256;100;150 rosso;7.7;haul sample;nel sacchetto del benthos;NA;MUREBRA totali: rap D cod 102 rosso 4 kg;
58;06/11/2024;1899-12-31 13:55:00;45;1.169;13;15.011;225;37.3;5.5;359;NO;R;PC;Atrina-Turritella;cavo 165 passi, qualche metro in più a rap A. Aggiunta mezza linguetta ai denti.;1899-12-31 14:28:00;45;4.279;13;15.073;36.2;95;NA;90;NA;181 rosso;5.6;haul sample;nel sacchetto del benthos;NA;NA;NA
6;06/11/2024;1899-12-31 16:55:00;45;15.132;12;52.593;225;28.3;5.6;52;/;C;N;Ophiothrix;cavo 135 passi, qualche metro in più al rap A. Giri motore 920. Durata ridotta per completare le stazioni della giornata;1899-12-31 17:11:00;45;15.98;12;54.143;28.5;328;100;320;100;278 bianco;5.5;haul sample;nel sacco del benthos;NA;NA;NA
60;06/11/2024;1899-12-31 09:26:00;44;39.726;13;29.618;250;42.7;5.6;342;NO;R;PC;Ophiothrix;giri motore 890;1899-12-31 09:42:00;44;41.091;13;28.924;43;570;120;730;120;378 bianco;8.2;haul sample. Campione ulteriore per esercitazione tirocinanti cod 41 rosso;nel sacchetto del benthos;NA;rap A: 529 nero canestrelli e capesante totali;NA
2;07/11/2024;1899-12-31 05:03:00;45;36.352;13;6.173;150;14.4;5.7;64;/;C;/;Astropecten-Oloturie-Murici;cavo 90 passi (un po' di più  al rap a). Giri motore 980. Cala prima dell'alba. Pezzo di tronco nella bocca del rap A, per questo pescata ridotta.;1899-12-31 05:33:00;45;37.579;13;9.744;15;104;90;136;90;55 rosso;4.5;haul sample;solo nel rapido A;NA;NA;NA
3;07/11/2024;1899-12-31 06:58:00;45;38.234;13;28.683;150;16;5.6;66;NE;R;PC;Psammechinus-Ophiothrix-conchigliame;cavo 90 passi (un po di più al rap A). Giri motore 930;1899-12-31 07:09:00;45;38.597;13;29.919;15.7;240;90;150;90;456 nero;8.5;haul sample;nel sacco del benthos;NA;murici da stimare dal benthos;NA
44;07/11/2024;1899-12-31 17:57:00;45;28.832;12;45.034;150;19.4;5.7;240;/;C;N;Astropecten-Bolinus;cavo 90 passi. Denti fatti sporgere di una linguetta. Cala serale. Giri motore 850, molta corrente. Vivaio non segnalato: 45 29,238 12 46,539;;;;;;;;;;;;;;;;;
45;07/11/2024;1899-12-31 10:22:00;45;34.251;13;32.928;150;24;5.5;267;NE;R;PC;Ophiothrix;cavo 90 passi (un po più cavo al rap A). Giri al motore 940. Denti spostati a filo con le slitte.;1899-12-31 10:28:00;45;34.234;13;32.253;23.4;1190;120;920;100;82 rosso;11.4;haul sample;sacco cod 540 nero;NA;haul sample per stimare le conchiglie: rap D 11,4 kg cod 82 rosso;
45bis;07/11/2024;1899-12-31 11:25:00;45;34.287;13;32.063;150;23.5;5.5;82;NE;R;PC;Ophiothrix;cavo 90 passi (un po' di più al rap a). Giri motore 890;1899-12-31 11:30:00;45;34.287;13;32.719;23.5;800;150;1000;150;NA;NA;NA;/;NA;haul sample per stimare murici e pectinidi: rap D 5,5 kg code 304 bianco;
4;08/11/2024;1899-12-31 15:11:00;45;4.986;12;24.322;150;16.3;5.6;325;/;C;PC;Astropecten-alghe rosse;cavo 90 passi (un po' di più al rap A). Giri motore 960. Sentita botta dopo 6 minuti di cala: rap D presi pezzi di tronchi, storto solo qualche dente. Ore 15:22 avvistati segnali reti da posta lungo il percorso, cambio rotta a 340°, tenuta questa rotta per il resto della cala.;1899-12-31 15:41:00;45;7.453;12;22.548;16.8;340;148;350;140;385 bianco;8;haul sample;nel sacco del benthos;NA;Tutti i Bolinus e Hexaplex rap D nel sacco 182 rosso. Haul sample per stima murici rap A: cod 262 bianco 4,4 kg;NA
43;08/11/2024;1899-12-31 08:01:00;45;24.144;12;24.762;125;8.2;5.5;213;/;C;PC;Murici-alghe rosse;cavo 75 passi (di più al rap A). Giri motore 890. Rap A raddrizzato coltello dopo la cala;1899-12-31 08:31:00;45;21.761;12;22.837;11.4;21;NA;20;NA;204 bianco;4.6;haul sample;retino da pesca;1.5;haul sample per stima murici: rap D 4,6 kg cod 204 bianco;
5;08/11/2024;1899-12-31 09:49:00;45;9.544;12;29.428;225;25.4;5.5;121;/;C;C;Ophiothrix-canestrelli morti;cavo 135 passi (un po' di più al rap A). Giri motore 860. Cambi di rotta lungo la traccia per evitare di concludera la strascicata su punto critico (rotta iniziale 121°, modificata a 110°, poi impostata a 125°, infine modificata a 111°;1899-12-31 10:19:00;45;8.234;12;32.814;25.6;400;130;410;130;524 nero;8;haul sample;nel sacco del benthos;NA;haul sample per stima murici per entrambi i rapidi da benthos rap D;NA
55;08/11/2024;1899-12-31 07:06:00;45;23.61;12;28.7;150;16.6;5.5;249;/;C;PC;Bolinus-Astropecten-Brissopsis;cavo 90 passi (di più al rap A). Giri motore 890. Corretta la posizione alle 7:15 accostandoci alle tracce precedenti. Traccia interrotta in ritardo, prosegue più  del dovuto.;1899-12-31 07:37:00;45;22.608;12;25.049;12.5;49;NA;30;NA;595 nero;8.5;haul sample;nel sacco del benthos;NA;haul sample: rap D 8,5 kg cod 595 nero;
57;08/11/2024;1899-12-31 11:07:00;45;5.293;12;41.778;225;29.8;5.6;122;NE;R;C;Ophiothrix;cavo 135 passi (di più al rap A). Giri motore 880;1899-12-31 11:37:00;45;3.879;12;45.141;30.6;220;120;176;124;475 nero - 96 rosso;6.4;haul sample, per sicurezza messo un altro piastrino;nel sacco del benthos;NA;NA;NA
9;08/11/2024;1899-12-31 12:24:00;45;1.871;12;54.89;250;32.5;5.6;158;NE;R;PC;Turritella-Schizaster;Giri motore 1000;1899-12-31 12:54:00;44;59.25;12;56.251;33;146;78;170;92;156 rosso;5.6;haul sample;nel sacchetto del benthos;NA;NA;NA
12;09/11/2024;1899-12-31 08:10:00;44;51.958;12;33.882;150;21.8;5.5;205;E;C;C;Alga rossa filamentosa;cavo 90 passi giri motore 920, parte sogliole rapi a misurate a bordo;1899-12-31 08:40:00;44;49.536;12;32.204;23;140;85;160;110;313 bianco;3.1;case benthos peso del subsample del benthos senza specie commerciali Test Enrico per bolinus da ristimare il peso subsample benthos. poi li bbiamo presi tutti, il subcmpione è per il test.;litter nel sacco del benthos;NA;subsample is a test. nel rapi a 100 murebra pesano 685g, preso come test e poi rimessi nel totale;NA
13;09/11/2024;1899-12-31 12:19:00;44;37.649;12;47.163;250;36.8;5.5;246;NA;R;PC;NA;cavo 150 passi giri motore 920;1899-12-31 12:49:00;44;36.355;12;43.984;35.6;150;110;140;90;405 nero;4.3;case benthos;litter nel sacco del benthos;NA;NA;NA
18;09/11/2024;1899-12-31 16:33:00;44;24.806;12;49.967;250;41.4;5.5;159;NA;R;PC;NA;cavo 150npassi giri motore 920;1899-12-31 17:03:00;44;22.12;12;51.107;41.9;100;84;134;112;249 bianco;5;Case benthos;litter nel sacco benthos;NA;NA;NA
46;09/11/2024;1899-12-31 07:06:00;44;54.851;12;39.767;200;30;5.5;260;E;C;C;alga rossa filamentosa;cavo 200 giri 930;1899-12-31 07:36:00;44;54.51;12;35.84;21.7;190;98;230;160;584 nero;4.2;case benthos peso del subsample del benthos senza specie commerciali;nel sacco del benthos;NA;murebra e hexatru sorted from total catch of each rapido no need of sub sample;NA
47;09/11/2024;1899-12-31 13:47:00;44;36.251;12;33.247;200;28;5.4;189;SE;R;PC;spatangidi turritella liocarcinus;cavo 120 passi giri motore 910;1899-12-31 14:47:00;44;33.614;12;32.652;28.7;186;148;134;112;171 rosso;3.7;case benthos no need of subsample of mure bra and hexatru;litter nel sacco del benthos;NA;NA;NA
59;09/11/2024;1899-12-31 11:22:00;44;43.302;12;43.962;230;33.8;5.5;140;NA;C;C;Spatangidae Liocarcinus;cavo 135 passi giri motore 870;1899-12-31 11:52:00;44;41.132;12;46.277;35.6;200;94;230;110;58 rosso;6.1;case benthos murebra e hextrun sorted from total catch no need of sub sample;litter nel sacco benthos;NA;NA;NA
61;09/11/2024;1899-12-31 14:53:00;44;29.04;12;38.048;200;32.1;5.5;143;SW;R;PC;NA;cavo 120 passi giri motore 930;1899-12-31 15:23:00;44;26.889;12;40.475;33.5;126;112;136;112;447 nero;3.6;case benthos;litter nel sacco benthos;NA;NA;NA
62;09/11/2024;1899-12-31 15:34:00;44;26.409;12;41.784;250;34.1;5.5;60;SW;R;PC;turritella;cavo 150 passi giri motore 950;1899-12-31 16:04:00;44;27.376;12;45.371;37.6;134;92;106;68;124 rosso;4.7;case benthos;litter sacco benthos;NA;NA;NA
8;09/11/2024;1899-12-31 09:35:00;44;50.604;12;29.531;100;11.6;5.5;216;NA;C;C;Bolinus;cavo 60 passi giri motore 910;1899-12-31 10:05:00;44;48.399;12;27.38;5.4;190;130;200;154;345 bianco;9;case haul murebra rapane e hexatru stimati dal benthos per entrambi i rapidi;litter nel sacco discard;NA;NA;NA
17;10/11/2024;1899-12-31 10:31:00;44;19.19;12;35.36;150;22.44;5.5;327;NA;R;PC;Anadara transversa;cavo 90 passi giri motore 980;1899-12-31 11:01:00;44;21.154;12;32.789;21.285;248;82;340;110;155 rosso;8.7;Case benthos;litter in sacco delbenthos;NA;stimare tutte le shells commerciali;NA
19;10/11/2024;1899-12-31 06:20:00;44;28.395;13;9.458;300;47.685;5.5;185;NA;R;PC;Hophiotrix;cavo 180 passi giri motore 860;1899-12-31 06:35:00;44;27.021;13;9.236;47.52;258;118;650;348;154 rosso;5.7;Case benthos canestrelli da stimare dal subsample;Litter nel sacco benthos;NA;NA;NA
54;10/11/2024;1899-12-31 08:05:00;44;16.699;12;59.836;300;48.51;5.5;163;NA;R;PC;liocarcinus;cavo 180  passi giri motore  910 nuova traccia del 2023 preso cavo d acciaio sul rapido D commerciale valido ma discar e litter presi dal rapido A;1899-12-31 08:35:00;44;14.078;13;0.935;49.8;19.9;0;10.9;0;69 rosso;3.5;case benthos discard e litter da rapido A in quanto il D ha pescato male per presenza di cavo d acciaio impigliato sulla bocca del rapido;litter nel sacco del benthos ad eccezione di un mattone di 1,9 kg che non è stato portato in laboratorio;NA;NA;NA
16;11/11/2024;1899-12-31 11:52:00;44;19.134;12;22.537;100;9.9;5.5;156;NA;R;PC;anadara kagoscimensis;cavo 60 passi giri motore 920  tirati 15 minuti per evitare saccata troppo grossa riparati entrambi i rapidi rete e foderone;1899-12-31 12:07:00;44;17.885;12;23.098;9.9;1600;356;1340;240;59 rosso;12.7;case benthos;litter nel sacco del benthos;NA;tutte le shell commerciali da stimare dal subsample benthos;NA
21;11/11/2024;1899-12-31 15:40:00;44;10.124;12;44.19;150;19.14;5.5;139;NA;R;PC;NA;cavo 90 passi giri motore ridotto a 15 per evitare saccate troppo grosse;1899-12-31 15:55:00;44;9.029;12;45.382;20.46;312;120;368;108;314 bianco;7.5;benthos;litter nel sacco del discard;NA;murebra e hexatru da stimare dal subsample del benthos;NA
24;11/11/2024;1899-12-31 08:27:00;43;55.59;13;0.783;100;16;5.6;134;NE;R;N;Bolinus-Hexaplex;Giri motore 660. Corrente forte che spinge la barca. Traccia sul pc della barca iniziata 6 minuti prima, più  affidabile la traccia del tablet. Vento da NE, onda da NO.;1899-12-31 08:57:00;43;53.658;13;3.704;15.8;216;104;160;114;217 bianco;11;haul sample;nel sacco del benthos;NA;stimare murici da benthos per entrambi i rapidi. Murici separati dal resto del campione di benthos, insacchettati con cod 272 bianco;NA
25;11/11/2024;1899-12-31 09:30:00;43;56.76;13;5.422;200;21.6;5.6;340;NE;R;N;Bolinus-Hexaplex;Giri motore 1060. Onda da NE e vento da NO, mare ingrossato (1  m);1899-12-31 10:01:00;43;59.64;13;5.189;28.2;122;100;130;110;464 nero;7.5;haul sample;nel sacchetto del benthos;NA;stimare murici da sample benthos;NA
26;11/11/2024;1899-12-31 11:21:00;44;3.356;13;18.977;400;57;5.6;145;NE;R;N;Liocarcinus;Giri motore 1040. Traccia plot barca iniziata quasi 10 minuti prima, più fedele la traccia nel tablet;1899-12-31 11:51:00;44;1.122;13;21.254;58.4;115;100;120;100;180 rosso;4.6;haul sample;nel benthos;NA;NA;NA
27;11/11/2024;1899-12-31 13:26:00;43;49.224;13;9.948;100;15.8;5.5;136;NE;R;N;Anadara;Giri motore 740. Molta corrente. Rete rap A salpata con buchi, riparati.;1899-12-31 13:56:00;43;47.34;13;12.569;14.7;870;150;470;140;26 rosso;10.1;haul sample;retine da cozze impigliate trai denti, non considerarle nel calcolo del rf, peso 1 kg, lunghezza 13 m, vedere foto prese a bordo;NA;Murici e canestrelli di entrambi i rapidi da stimare dal benthos;NA
28;11/11/2024;1899-12-31 15:00:00;43;46.218;13;23.859;200;22.7;5.5;335;NE;R;N;Turritella;Giri motore 1030. Deviata la rotta l'ultimo minuto e mezzo;1899-12-31 15:30:00;43;48.798;13;22.885;29.8;88;68;102;88;361 bianco;5;haul sample. Preso campione benthos anche da rap A per tirocinanti, cod 91 rosso;nel sacco del benthos;NA;NA;NA
29;11/11/2024;1899-12-31 16:38:00;43;44.894;13;35.906;350;47.2;5.5;165;NE;R;N;Liocarcinus;Giri motore 930. Onda da NO. Rotta spostata per la presenza di una presura sul punto 43 42,656 13 36,690.;1899-12-31 17:08:00;43;42.196;13;37.05;35.8;100;80;110;80;207 bianco;3.8;haul sample;nel sacco del benthos;NA;NA;NA
48;11/11/2024;1899-12-31 06:28:00;44;3.988;12;37.434;120;10.2;5.5;143;NE;R;N;Anadara;cavo 75 passi. Giri motore 920. Mare mosso 0.9-1 m d'onda.;1899-12-31 07:08:00;44;1.617;12;39.661;10.2;176;130;174;130;157 rosso;12;haul sample;resto del litter (da considerare nel rf) nel sacco del benthos;NA;murici da stimare dal benthos per entrambi i rapidi;NA
63;11/11/2024;1899-12-31 13:10:00;44;13.707;12;34.73;150;16.005;5.5;153;NA;R;PC;anadara;cavo 90 passi giri motore tirati solo 15 minuti per evitare saccate troppo grosse;1899-12-31 13:25:00;44;12.839;12;36.005;16.17;368;124;212;110;431 nero;8.7;benthos;litter nel sacco discard;NA;murebra e hexatru da stimate scarto ostrea e rapana prese tutte nel commerciale da non considerarsi nel subsample del discard;NA
64;11/11/2024;1899-12-31 14:20:00;44;11.022;12;28.42;100;10.065;5.5;140;NA;R;PC;anadara;cavo 60 passi giri motore 850 cala ridotta a 15 minuti per evitare danni ai rapidi;NA;44;NA;12;NA;NA;18.1;0;25.5;0;5 rosso;4.2;case benthos;reste cozze datta foto 4 metri;0.8;murebra hexatru e rapana presi tutti nel commerciale;NA
65;11/11/2024;1899-12-31 16:10:00;44;7.344;12;45.908;150;18.15;5.6;180;NA;R;PC;anadara;cavo 90 passi giri motore 800 ridotto a 15 per evitare saccate troppo grosse;NA;44;5.969;12;45.952;18;220;122;156;96;106 rosso;7.5;benthos;NA;NA;murebra e hexatru da stimare dal subsample benthos;NA
30;12/11/2024;1899-12-31 14:30:00;43;58.628;14;0.724;450;70.4;5.5;233;NE;R;N;Funiculina-Brissopsis-gusci Acanthocardia;Giri motore 980. Mare meno mosso. Qualche dente storto di entrambi i rapidi;1899-12-31 15:00:00;43;57.051;14;57.537;72;222;122;142;122;35 rosso;6.4;haul sample. Campione dopo risciacquo e senza commerciale e litter (per cfr i due metodi di stima) pesa 4,6 kg. Marthasterias messa nella cassetta del commerciale perché unico individuo nella saccata che non richiede rf;nel sacco del benthos;NA;NA;NA
33;12/11/2024;1899-12-31 06:23:00;43;24.339;13;42.96;100;12.5;5.6;155;NE;R;N;Anadara;Giri motore 920. Tolto coltello e ridotta durata a 20 minuti perché fondo ad Anadara. Mare mosso, 0,9 m d'onda;1899-12-31 06:43:00;43;22.543;13;43.949;12.5;360;140;260;126;81 rosso;8.3;haul sample. Campione ripesato dopo aver tolto commerciale e litter e averlo risciaquato, peso 7,8 kg (info per confrontare i due approcci di sampling);nel sacco del benthos;NA;NA;NA
34;12/11/2024;1899-12-31 07:32:00;43;22.118;13;52.885;150;21.4;5.5;170;NE;R;C;Anadara;Giri motore 780. Molta corrente. Mare mosso, 0,9 m d'onda. Rimessi i denti (1 linguetta);1899-12-31 08:02:00;43;19.411;13;53.457;20.2;24.5;NA;19;NA;226 bianco;6.1;haul sample. Sample benthos senza commerciale e dopo averlo risciacquato 4,1 kg (per cfr tra i due metodi);nel sacco del benthos;NA;NA;NA
35;12/11/2024;1899-12-31 10:44:00;43;25.469;14;12.787;450;78.2;5.5;338;NE;R;N;Brissopsis;Giri motore 990. Mare mosso, 1 m d'onda. Presa come riferimento la traccia del 2023, nell'area tra la traccia del 2020 e le altre tracce ci sono molte afferrature. Non calare mai lì in mezzo !;1899-12-31 11:14:00;43;28.037;14;11.327;77.8;110;88;150;112;64 rosso;5;haul sample. Sample sciacquato e senza commerciale e litter pesa 3,6 kg (per cfr due metodiche);nel sacco del benthos. Pezzo di rete da pesca impigliato nei denti, da non considerare nel calcolo del rf;NA;NA;NA
38;12/11/2024;1899-12-31 09:43:00;43;21.958;14;7.489;450;65.6;5.6;65;NE;R;N;Liocarcinus-Brissopsis-Acanthocardia;Giri motore 1050. Mare mosso, onda da 1 m. Rap A salpato storto;1899-12-31 10:13:00;43;23.18;14;10.825;73;156;110;140;106;297 bianco;6.3;haul sample. Campione benthos sciacquato e senza commerciale pesa 4,8 kg (per cfr due metodi di sampling);pezzo di rete;NA;NA;NA
67;12/11/2024;1899-12-31 08:32:00;43;20.3;13;58.82;360;43.2;5.5;20;NE;R;C;Brissopsis;Giri motore 1040. Mare mosso, 1 m d'onda.;1899-12-31 09:02:00;43;22.737;13;0.452;52;154;100;21.7;NA;337 bianco;4.8;haul sample. Peso campione benthos senza commerciale e dopo risciacquo 3,7 kg (per cfr due approcci);no litter;NA;NA;NA
69;13/11/2024;1899-12-31 05:40:00;42;41.544;14;14.045;430;63.855;5.5;162;NE;R;PC;NA;cavo 270 passi giri motore 960;1899-12-31 06:10:00;42;39.029;14;15.532;64.68;29.2;NA;23.2;NA;452 nero;3.7;case benthos;Litter nel sacco benthos;NA;NA;NA
70;13/11/2024;1899-12-31 06:38:00;42;36.289;14;13.235;150;29.37;5.5;150;NE;R;PC;NA;Cavo 105 passi giri motore 800;1899-12-31 07:08:00;42;33.834;14;14.877;26.4;14.5;NA;12;NA;84 rosso;5.6;case benthos;Litter nel sacco del benthos;NA;NA;NA
71;13/11/2024;1899-12-31 09:04:00;42;16.559;14;33.178;150;15.84;5.5;125;NE;R;PC;NA;Cavo 90 giri motore 800 Rotta modificata per presenza nuovo vivaio cozze;1899-12-31 09:34:00;42;15.413;14;36.5;19.305;5.6;NA;8.5;NA;129 rosso;2.5;Prelevato tutto il benthos presenzadi brissopsis;litter nel sacco del benthos;NA;NA;NA
72;13/11/2024;1899-12-31 11:05:00;42;15.844;14;58.061;550;92.895;5.5;122;NE;R;PC;NA;Cavo 330 passi giri motore 900;1899-12-31 11:35:00;42;14.252;15;0.883;91.41;224;104;224;112;158 rosso;4.5;Case benthos;Litter nel sacco del discard Foto di un filtro della nafta circa 2 kg non messo in sacchetto perché  puzzava;NA;NA;NA
73;13/11/2024;1899-12-31 12:48:00;42;5.956;14;52.067;150;20.13;5.5;110;NE;R;PC;NA;NA;1899-12-31 13:18:00;42;4.777;14;55.379;21.45;19;NA;32;NA;248 bianco;4;Case benthos;Litter nel sacco;NA;NA;NA
74;13/11/2024;1899-12-31 14:04:00;42;0.275;15;3.837;140;20.13;5.5;136;NE;R;PC;NA;cavo 90 passi giri 840 preso segnale;14/01/1900 07:55;41;58.358;15;6.188;16.5;13;NA;23;NA;538 nero;6;Case benthos;litter nel sacco;NA;NA;NA
75;13/11/2024;1899-12-31 15:56:00;42;2.072;15;25.305;430;67.98;5.5;95;NE;R;PC;NA;cavo 250 giri 900;1899-12-31 16:26:00;42;2.266;15;28.87;71.445;22;NA;16.5;NA;Case benthos;2;NA;litter nel sacco;NA;NA;NA
76;13/11/2024;1899-12-31 17:17:00;42;0.029;15;40.329;150;23.1;5.5;90;NE;R;PC;NA;NA;1899-12-31 17:47:00;41;59.648;15;43.93;19.8;21;NA;8;NA;382 bianco;2.5;case benthos;liter nel sacco;NA;NA;NA
37;14/11/2024;1899-12-31 08:28:00;43;5.563;13;57.323;160;18.15;5.5;324;NW;R;PC;NA;Cavo 90 passi giri motore 1070.;1899-12-31 08:58:00;43;7.792;13;55.412;18.15;180;108;236;104;228 bianco;10;Case haul;Litter nel sacco;NA;MUREBRA e HEXATRU da stimare dal subsample;NA
50;14/11/2024;1899-12-31 07:34:00;43;1.747;14;1.617;250;28.05;5.5;339;NW;R;PC;NA;Cavo 250 passi giri motore 1080.  Fatta deviazione a inizio cala per evitare peschereccio;1899-12-31 08:04:00;43;4.114;14;0.614;26.565;16;NA;11;NA;515 nero;8.5;preso. tutto il benthos;litter nel sacco;NA;NA;NA
68;14/11/2024;1899-12-31 06:11:00;42;52.308;13;59.824;140;16.5;5.5;349;NW;C;PC;NA;Cavo 90 passi giri motore 1040. Il rapido A ha dato uno scossone in cala. Salpato prima per presenza area di scarico materiali portuali.;1899-12-31 06:38:00;42;54.613;13;58.881;16.5;430;94;490;108;122 rosso;7;Case haul;litter nel sacco discard;NA;MUREBRA contati e pesati a bordo;NA
